,fullDesignation,ssObjectId,pop
27,2011 2000 QX158,8975419244645578908,JT
28,2011 2000 QY151,3230990120189577763,JT
29,2011 2000 RJ24,2222204265199832406,JT
30,2011 2000 SG53,6068172282938978404,JT
31,2011 2000 SY55,7206777644882684479,JT
32,2011 2000 SZ344,-1677116896465059935,JT
33,2011 2000 TU44,466812227430277810,JT
34,2011 2001 AE51,-6878626574151483418,JT
35,2011 2001 BE24,-4564634094099083714,JT
36,2011 2001 BS15,8947602002166643055,JT
37,2011 2001 BT31,5622965336464888731,JT
38,2011 2001 CC49,5003956623045749463,JT
39,2011 2001 CP29,1716323389730234716,JT
40,2011 2001 CZ10,-5879952687178114772,JT
41,2011 2001 DH29,-6362865667860142666,JT
42,2011 2001 DH42,1051590359790623441,JT
43,2011 2001 QU277,1097248311541098424,JT
44,2011 2001 SC101,-2509974420886596110,JT
45,2011 2002 AW34,-3578030674401116299,JT
46,2011 2002 CL218,6627588132907783112,JT
47,2011 2002 CS273,7725082328911412850,JT
48,2011 2002 CT111,9070896847636237635,JT
49,2011 2002 CY21,-469252822140497839,JT
50,2011 2002 CZ144,-1412236276338304210,JT
51,2011 2002 EK106,-4743582727728167517,JT
52,2011 2002 EM157,2701999162316512861,JT
53,2011 2002 EQ151,-7183605527002600469,JT
54,2011 2002 EY106,2346971507289724393,JT
55,2011 2002 EZ60,-6919489319650943191,JT
56,2011 2002 FR4,1789946883403643051,JT
57,2011 2003 EG63,5602995909732629986,JT
58,2011 2003 GX7,-1300680021784406321,JT
59,2011 2004 GE29,-3348913814875594360,JT
60,2011 2004 HS1,-6306591313310760353,JT
61,2011 2004 JX35,7889345806786273626,JT
62,2011 2005 WN57,-7678218930881494711,JT
63,2011 2007 VX2,-4492950333980907358,JT
64,2011 2007 XU3,3892263667239992685,JT
65,2011 2008 QS47,-6002296148493541341,JT
66,2011 2008 QX5,7338900947845081103,JT
67,2011 2008 RJ27,8454838663766251207,JT
68,2011 2008 RV125,6347963616407587537,JT
69,2011 2008 SJ253,-6954897500596196573,JT
70,2011 2008 SX107,-6995610393077738462,JT
71,2011 2009 SA271,1150976332225465789,JT
72,2011 2009 SB360,-201094596775753514,JT
73,2011 2009 SH333,-6073061913328955611,JT
74,2011 2009 TD16,3352225083045205853,JT
75,2011 2009 TO25,-1528802152048808360,JT
76,2011 2009 UL2,-6000933663693159049,JT
77,2011 2012 SA1,-5141588354792061704,JT
